Bahnhof;Lat_Breite;Lat_Long
Koeln Hbf;50.9427839;6.9590705
Duesseldorf Hbf;51.2197;6.7943
Dortmund Hbf;51.5179;7.45928
Hannover Hbf;52.3744779;9.7385532
Bremen Hbf;53.0833522;8.8136451
Berlin Hbf;52.5249451;13.3696614
Hamburg Hbf;53.5532;10.0064
Frankfurt Hbf;50.1066539;8.6625808
Muenchen Hbf;48.1408;11.5553
Halle Hbf;51.4768686;11.9855947
Leipzig Hbf;51.3466;12.3831
Erfurt Hbf;50.9723;11.0381
Nuernberg Hbf;49.4542;11.0775
Kassel Hbf;51.3167;9.5
Kiel Hbf;54.3134463;10.1310136
Rostock Hbf;54.0781503;12.1311246
Stuttgart Hbf;48.7856;9.1834
Saarbruecken;49.2344;6.99638
Duisburg Hbf;51.427;6.77681
Essen Hbf;51.45097;7.01285
Dresden Hbf;51.0402452;13.7320768
Mannheim Hbf;49.4792;8.46941